City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,ibiza,38.9088,1.433,285.26,91,0,0.89,ES,1710379369
321,canavieiras,-15.675,-38.9472,298.59,86,6,0.81,BR,1710379619
322,wajir,1.7471,40.0573,300.42,61,3,7.1,KE,1710379620
323,steinbach,50.1667,8.5667,284.02,89,75,3.09,DE,1710379622
324,nyurba,63.2842,118.3319,251.6,96,67,0.9,RU,1710379624
325,paphos,34.7667,32.4167,288.03,82,20,2.57,CY,1710379614
326,wangjing,24.6,94.0333,288.42,58,5,0.07,IN,1710379629
327,champerico,14.3,-91.9167,301.12,71,33,3.78,GT,1710379630
328,at taj,24.2049,23.2857,291.0,16,100,3.96,LY,1710379632
329,al ghayzah,16.2079,52.176,297.13,86,15,1.37,YE,1710379633
330,guerrero negro,27.9769,-114.0611,289.49,69,0,10.19,MX,1710379445
331,lae,-6.7221,146.9847,304.52,53,40,0.74,PG,1710379636
332,mawlaik,23.6333,94.4167,294.35,46,0,0.42,MM,1710379637
333,shenjiamen,29.9576,122.298,283.31,74,99,2.92,CN,1710379638
334,mar del plata,-38.0023,-57.5575,294.23,94,100,6.71,AR,1710379535
335,kourou,5.1552,-52.6478,300.18,90,70,3.28,GF,1710379644
336,gemena,3.25,19.7667,295.22,89,100,1.1,CD,1710379645
337,turkeli,41.9476,34.3386,283.74,83,100,1.15,TR,1710379646
338,boa viagem,-5.1275,-39.7322,296.87,95,100,0.82,BR,1710379465
339,osh,40.5151,72.8083,274.51,75,20,1.0,KG,1710379468
340,valparaiso,-33.0393,-71.6273,291.95,52,0,2.06,CL,1710379649
341,coahuayana de hidalgo,18.7,-103.6583,297.12,72,79,1.78,MX,1710379650
342,trincomalee,8.5711,81.2335,297.35,86,75,2.2,LK,1710379651
343,uturoa,-16.7333,-151.4333,302.24,73,96,4.61,PF,1710379653
344,kokshetau,53.2775,69.3883,257.33,85,100,6.0,KZ,1710379654
345,colonia,50.9333,6.95,284.79,86,75,2.06,DE,1710379599
346,saint-joseph,-21.3667,55.6167,296.36,77,28,4.64,RE,1710379660
347,mahishadal,22.1833,87.9833,297.72,90,0,3.03,IN,1710379661
348,ridgecrest,35.6225,-117.6709,292.07,24,40,2.68,US,1710379371
349,boyolangu,-8.1181,111.8935,298.11,93,100,2.59,ID,1710379663
350,sampit,-2.5333,112.95,300.28,81,98,1.25,ID,1710379664
351,nanga eboko,4.6833,12.3667,294.26,93,100,0.31,CM,1710379665
352,carnarvon,-24.8667,113.6333,301.8,63,72,4.76,AU,1710379665
353,la gi,10.6667,107.7833,300.47,67,86,5.11,VN,1710379667
354,ancud,-41.8697,-73.8203,284.69,81,93,4.41,CL,1710379671
355,redcliff,-19.0333,29.7833,290.72,86,83,1.9,ZW,1710379672
356,shortandy,51.7006,70.9994,251.05,100,100,3.4,KZ,1710379672
357,kill devil hills,36.0307,-75.676,288.16,63,0,2.57,US,1710379676
358,kiunga,-6.1219,141.2906,298.16,94,93,0.81,PG,1710379677
